gene_id	product	protein_id
17794	IUM83_11762	FYVE finger-containing protein	KAG6620761.1
17795	IUM83_11763	adenylosuccinate synthetase	KAG6620760.1
17796	IUM83_11764	Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1	KAG6620798.1
17797	IUM83_11765	Nitrate reductase	KAG6620797.1
17798	IUM83_11766	ARP2/3 complex 20 kDa subunit	KAG6620913.1
17799	IUM83_11767	putative oxidoreductase C2F3.05c	KAG6620799.1
17800	IUM83_11768	Pectate lyase	KAG6620759.1
17801	IUM83_11769	histone PARylation factor 1	KAG6620796.1
17802	IUM83_11770	spermidine synthase	KAG6620921.1
17803	IUM83_11771	translation elongation factor Ts	KAG6620922.1
17804	IUM83_11772	P-type ATPase (P-ATPase) Superfamily	KAG6620919.1
17805	IUM83_11773	P-type ATPase (P-ATPase) Superfamily	KAG6620920.1
17806	IUM83_16069	E3 ubiquitin protein ligase	KAG6592706.1
17807	IUM83_16070	hypothetical protein	KAG6592782.1
17808	IUM83_16071	Protein phosphatase 1, regulatory subunit	KAG6592763.1
17809	IUM83_16072	Leucine-rich repeat-containing protein 72	KAG6592764.1
17810	IUM83_16073	Armadillo-type fold	KAG6592765.1
17811	IUM83_16074	Armadillo-type fold	KAG6592766.1
17812	IUM83_16075	Cytochrome P450	KAG6592767.1
17813	IUM83_16076	hypothetical protein	KAG6592783.1
17814	IUM83_16077	putative jerky	KAG6592785.1
17815	IUM83_16078	General transcription factor IIH subunit 2	KAG6592707.1
17816	IUM83_16079	Patatin like protein	KAG6592708.1
17817	IUM83_16080	Cytochrome P450 86A2	KAG6592747.1
17818	IUM83_16081	hypothetical protein	KAG6592699.1
17819	IUM83_16082	hypothetical protein	KAG6592701.1
17820	IUM83_16083	hypothetical protein	KAG6592700.1
17821	IUM83_16084	hypothetical protein	KAG6592702.1
17822	IUM83_16085	hypothetical protein	KAG6592748.1
17823	IUM83_16086	hypothetical protein	KAG6592704.1
17824	IUM83_16087	hypothetical protein	KAG6592703.1
17825	IUM83_16088	Calcium homeostasis protein Regucalcin	KAG6592711.1
17826	IUM83_16089	Calcium homeostasis protein Regucalcin	KAG6592698.1
17827	IUM83_16090	isopenicillin n-epimerase	KAG6592760.1
17828	IUM83_16091	hypothetical protein	KAG6592797.1
17829	IUM83_16092	hypothetical protein	KAG6592761.1
17830	IUM83_16093	putative transcription initiation factor TFIID subunit	KAG6592759.1
17831	IUM83_16094	riboflavin synthase, alpha subunit	KAG6592757.1
17832	IUM83_16095	Deoxyribose-phosphate aldolase	KAG6592758.1
17833	IUM83_16096	cytochrome oxidase assembly	KAG6592755.1
17834	IUM83_16097	putative ribonuclease	KAG6592756.1
17835	IUM83_16098	cytochrome oxidase assembly	KAG6592796.1
17836	IUM83_16099	cytochrome oxidase assembly	KAG6592754.1
17837	IUM83_16100	putative ribonuclease	KAG6592778.1
17838	IUM83_16101	Calcium homeostasis endoplasmic reticulum protein	KAG6592769.1
17839	IUM83_16102	E3 ubiquitin-protein ligase HERC4	KAG6592710.1
17840	IUM83_16103	hypothetical protein	KAG6592771.1
17841	IUM83_16104	E3 ubiquitin-protein ligase RFWD3	KAG6592779.1
17842	IUM83_16105	Importin subunit alpha	KAG6592686.1
17843	IUM83_16106	40S ribosomal protein S27-like	KAG6592780.1
17844	IUM83_16107	Nucleoporin GLE1	KAG6592772.1
17845	IUM83_16108	methylmalonate-semialdehyde dehydrogenase (acylating)	KAG6592777.1
17846	IUM83_16109	Cytoplasmic dynein 1 heavy chain 1	KAG6592775.1
17847	IUM83_16110	1-phosphatidylinositol 3-phosphate 5-kinase FAB1	KAG6592723.1
17848	IUM83_16111	putative regulator of chromosome condensation (RCC1)	KAG6592722.1
17849	IUM83_16112	Nicolin 1	KAG6592725.1
17850	IUM83_16113	Cytoplasmic dynein 1 heavy chain 1	KAG6592709.1
17851	IUM83_16114	putative phospholipase A-2-activating protein	KAG6592728.1
17852	IUM83_16115	hypothetical protein	KAG6592727.1
17853	IUM83_16116	Geranylgeranyl transferase type-1 subunit beta	KAG6592726.1
17854	IUM83_16117	glucan endo-1	KAG6592753.1
17855	IUM83_16118	glucan endo-1	KAG6592724.1
17856	IUM83_16119	Histone-arginine methyltransferase	KAG6592721.1
17857	IUM83_16120	s41 family peptidase	KAG6592788.1
17858	IUM83_16121	homoserine O-acetyltransferase	KAG6592789.1
17859	IUM83_16122	molybdate/tungstate transport system substrate-binding protein	KAG6592786.1
17860	IUM83_16123	Elongation of very long chain fatty acids protein	KAG6592787.1
17861	IUM83_16124	Elongation of very long chain fatty acids protein	KAG6592792.1
17862	IUM83_16125	U5 snRNP-specific protein-like factor	KAG6592793.1
17863	IUM83_16126	hypothetical protein	KAG6592790.1
17864	IUM83_16127	ATP-binding Cassette (ABC) Superfamily	KAG6592791.1
17865	IUM83_16128	hypothetical protein	KAG6592794.1
17866	IUM83_16129	hypothetical protein	KAG6592795.1
17867	IUM83_16130	hypothetical protein	KAG6592735.1
17868	IUM83_16131	Anaphase-promoting complex subunit 10	KAG6592734.1
17869	IUM83_16132	Atypical/RIO/RIO1 protein kinase	KAG6592770.1
17870	IUM83_16133	hypothetical protein	KAG6592736.1
17871	IUM83_16134	FAM227B protein	KAG6592732.1
17872	IUM83_16135	Tubulin-specific chaperone D	KAG6592731.1
17873	IUM83_16136	PhosphoLipase D	KAG6592773.1
17874	IUM83_16137	SF-assemblin	KAG6592733.1
17875	IUM83_16138	Multidrug/Oligosaccharidyl-lipid/Polysaccharide (MOP) Flippase Superfamily	KAG6592730.1
17876	IUM83_16139	nucleolar GTP-binding protein 2	KAG6592729.1
17877	IUM83_16140	Inositol-3,4-bisphosphate 4-phosphatase	KAG6592680.1
17878	IUM83_16141	Zinc finger, MYND-type	KAG6592681.1
17879	IUM83_16142	Nucleolar GTP-binding protein 2	KAG6592682.1
17880	IUM83_16143	hypothetical protein	KAG6592683.1
17881	IUM83_16144	nardilysin-like protein	KAG6592705.1
17882	IUM83_16145	Small conductance calcium-activated potassium channel protein	KAG6592677.1
17883	IUM83_16146	40S ribosomal protein S15a	KAG6592678.1
17884	IUM83_16147	putative calcineurin-like phosphoesterase	KAG6592679.1
17885	IUM83_16148	hypothetical protein	KAG6592684.1
17886	IUM83_16149	Dynein assembly factor 3, C-terminal domain	KAG6592685.1
17887	IUM83_16150	putative Di-N-acetylchitobiase	KAG6592744.1
17888	IUM83_16151	putative Di-N-acetylchitobiase	KAG6592743.1
17889	IUM83_16152	putative extracellular protein	KAG6592742.1
17890	IUM83_16153	Rho GTPase-activating protein gacA	KAG6592741.1
17891	IUM83_16154	Histone transcription regulator HIRA, WD repeat superfamily	KAG6592740.1
17892	IUM83_16155	Two component regulator three Y domain protein	KAG6592739.1
17893	IUM83_16156	hypothetical protein	KAG6592738.1
17894	IUM83_16157	Deoxyhypusine hydroxylase	KAG6592737.1
17895	IUM83_16158	Proliferation-associated nucleolar protein (NOL1)	KAG6592746.1
17896	IUM83_16159	Small nuclear ribonucleoprotein Sm D3	KAG6592745.1
17897	IUM83_16160	RxLR-like protein	KAG6592692.1
17898	IUM83_16161	hypothetical protein	KAG6592693.1
17899	IUM83_16162	EF-hand calcium-binding domain-containing protein 2	KAG6592690.1
17900	IUM83_16163	holo-[acyl-carrier-protein] synthase	KAG6592691.1
17901	IUM83_16164	crn1-like protein	KAG6592718.1
17902	IUM83_16165	hypothetical protein	KAG6592719.1
17903	IUM83_16166	hypothetical protein	KAG6592689.1
17904	IUM83_16167	Hydroxymethylglutaryl-CoA reductase, degradative	KAG6592717.1
17905	IUM83_16168	ubiquitin-protein ligase	KAG6592688.1
17906	IUM83_16169	hypothetical protein	KAG6592774.1
17907	IUM83_16170	hypothetical protein	KAG6592716.1
17908	IUM83_16171	Calcineurin-like phosphoesterase	KAG6592715.1
17909	IUM83_16172	hypothetical protein	KAG6592750.1
17910	IUM83_16173	hypothetical protein	KAG6592749.1
17911	IUM83_16174	Transcription factor IIS, N-terminal	KAG6592720.1
17912	IUM83_16175	RxLR-like protein	KAG6592751.1
17913	IUM83_16176	Hepatocyte growth factor-regulated tyrosine kinase substrate	KAG6592781.1
17914	IUM83_16177	Rhamnolipids biosynthesis 3-oxoacyl- reductase	KAG6592752.1
17915	IUM83_16178	hypothetical protein	KAG6592714.1
17916	IUM83_16179	putative trans-sialidase, Group IV	KAG6592712.1
17917	IUM83_16180	hypothetical protein	KAG6592694.1
17918	IUM83_16181	protein set-like	KAG6592695.1
17919	IUM83_16182	microsomal signal peptidase	KAG6592696.1
17920	IUM83_16183	hypothetical protein	KAG6592697.1
17921	IUM83_12378	hypothetical protein	KAG6592670.1
17922	IUM83_12379	Calcium-dependent protein kinase 29	KAG6592558.1
17923	IUM83_12380	diguanylate cyclase	KAG6592573.1
17924	IUM83_12381	serine/threonine-protein kinase	KAG6592502.1
17925	IUM83_12382	12-oxophytodienoate reductase	KAG6592500.1
17926	IUM83_12383	12-oxophytodienoate reductase	KAG6592501.1
17927	IUM83_12384	putative 12-oxophytodienoate reductase	KAG6592498.1
17928	IUM83_12385	putative 12-oxophytodienoate reductase	KAG6592499.1
17929	IUM83_12386	12-oxophytodienoate reductase	KAG6592496.1
17930	IUM83_12387	hypothetical protein	KAG6592497.1
17931	IUM83_12388	MtN3-like protein	KAG6592503.1
17932	IUM83_12389	Transmembrane ascorbate ferrireductase 1	KAG6592504.1
17933	IUM83_12390	MtN3-like protein	KAG6592593.1
17934	IUM83_12391	MtN3-like protein	KAG6592592.1
17935	IUM83_12392	MtN3-like protein	KAG6592595.1
17936	IUM83_12393	MtN3-like protein	KAG6592594.1
17937	IUM83_12394	MtN3-like protein	KAG6592597.1
17938	IUM83_12395	MtN3-like protein	KAG6592596.1
17939	IUM83_12396	MtN3-like protein	KAG6592599.1
17940	IUM83_12397	MtN3-like protein	KAG6592598.1
17941	IUM83_12398	MtN3-like protein	KAG6592601.1
17942	IUM83_12399	MtN3-like protein	KAG6592600.1
17943	IUM83_12400	multiple inositol polyphosphate phosphatase	KAG6592520.1
17944	IUM83_12401	putative G-protein coupled receptor	KAG6592667.1
17945	IUM83_12402	acetate-CoA ligase	KAG6592565.1
17946	IUM83_12403	MtN3-like protein	KAG6592668.1
17947	IUM83_12404	E3 ubiquitin-protein ligase CHIP	KAG6592568.1
17948	IUM83_12405	WRKY transcription factor 19	KAG6592526.1
17949	IUM83_12406	Regulator of chromosome condensation (RCC1)-like protein	KAG6592530.1
17950	IUM83_12407	hypothetical protein	KAG6592527.1
17951	IUM83_12408	hypothetical protein	KAG6592532.1
17952	IUM83_12409	hypothetical protein	KAG6592614.1
17953	IUM83_12410	hypothetical protein	KAG6592636.1
17954	IUM83_12411	Eukaryotic/viral aspartic protease	KAG6592638.1
17955	IUM83_12412	hypothetical protein	KAG6592616.1
17956	IUM83_12413	Condensin complex subunit 3	KAG6592635.1
17957	IUM83_12414	hypothetical protein	KAG6592629.1
17958	IUM83_12415	hypothetical protein	KAG6592615.1
17959	IUM83_12416	hypothetical protein	KAG6592626.1
17960	IUM83_12417	Zinc finger protein 76	KAG6592628.1
17961	IUM83_12418	hypothetical protein	KAG6592640.1
17962	IUM83_12419	Nucleoporin p58/p45	KAG6592641.1
17963	IUM83_12420	cellulase-1, endo-1,4-beta-glucanase	KAG6592576.1
17964	IUM83_12421	DUF98 domain-containing protein	KAG6592656.1
17965	IUM83_12422	Ribosomal protein L34	KAG6592564.1
17966	IUM83_12423	glutamine-trna ligase	KAG6592655.1
17967	IUM83_12424	glutamine-tRNA ligase	KAG6592544.1
17968	IUM83_12425	u1 small nuclear ribonucleoprotein a	KAG6592572.1
17969	IUM83_12426	serine protease V8	KAG6592542.1
17970	IUM83_12427	hypothetical protein	KAG6592654.1
17971	IUM83_12428	MtN3-like protein	KAG6592540.1
17972	IUM83_12429	MtN3-like protein	KAG6592653.1
17973	IUM83_12430	MtN3-like protein	KAG6592554.1
17974	IUM83_12431	MtN3-like protein	KAG6592555.1
17975	IUM83_12432	MtN3-like protein	KAG6592652.1
17976	IUM83_12433	Ankyrin repeat domain-containing protein 50	KAG6592550.1
17977	IUM83_12434	Ankyrin repeat domain-containing protein 50	KAG6592646.1
17978	IUM83_12435	arginine-tRNA ligase	KAG6592552.1
17979	IUM83_12436	Histone-lysine N-methyltransferase NSD3	KAG6592648.1
17980	IUM83_12437	chlorophyll synthesis pathway protein BchC	KAG6592553.1
17981	IUM83_12438	Arrestin domain-containing protein A	KAG6592551.1
17982	IUM83_12439	mitochondrial chaperone BCS1-B	KAG6592547.1
17983	IUM83_12440	hypothetical protein	KAG6592644.1
17984	IUM83_12441	hypothetical protein	KAG6592507.1
17985	IUM83_12442	Crinkler (CRN) family protein	KAG6592559.1
17986	IUM83_12443	putative Tigger transposable elementderived protein 6	KAG6592473.1
17987	IUM83_12444	NADP-dependent alcohol dehydrogenase C 2	KAG6592557.1
17988	IUM83_12445	Ankyrin repeat domain-containing protein 50	KAG6592642.1
17989	IUM83_12446	Ankyrin repeat domain-containing protein 50	KAG6592472.1
17990	IUM83_12447	hypothetical protein	KAG6592643.1
17991	IUM83_12448	NADP-dependent alcohol dehydrogenase C 2	KAG6592645.1
17992	IUM83_12449	NADP-dependent alcohol dehydrogenase C 2	KAG6592474.1
17993	IUM83_12450	NADP-dependent alcohol dehydrogenase C 2	KAG6592538.1
17994	IUM83_12451	carboxylesterase	KAG6592657.1
17995	IUM83_12452	hypothetical protein	KAG6592536.1
17996	IUM83_12453	hypothetical protein	KAG6592537.1
17997	IUM83_12454	nascent polypeptide-associated complex subunit alpha isoform X1	KAG6592659.1
17998	IUM83_12455	Neutral amino acid transporter B(0)	KAG6592539.1
17999	IUM83_12456	cathepsin-like aspartic protease A1	KAG6592495.1
18000	IUM83_12457	Cathepsin-like aspartic protease A1	KAG6592658.1
18001	IUM83_12458	hypothetical protein	KAG6592535.1
18002	IUM83_12459	hypothetical protein	KAG6592467.1
18003	IUM83_12460	hypothetical protein	KAG6592632.1
18004	IUM83_12461	hypothetical protein	KAG6592631.1
18005	IUM83_12462	hypothetical protein	KAG6592630.1
18006	IUM83_12463	Crinkler (CRN) family protein	KAG6592649.1
18007	IUM83_12464	Crinkler (CRN) family protein	KAG6592561.1
18008	IUM83_12465	hypothetical protein	KAG6592633.1
18009	IUM83_12466	putative thioredoxin	KAG6592563.1
18010	IUM83_12467	hypothetical protein	KAG6592560.1
18011	IUM83_12468	serine/threonine protein kinase	KAG6592562.1
18012	IUM83_12469	hypothetical protein	KAG6592651.1
18013	IUM83_12470	Allene oxide synthase-lipoxygenase protein	KAG6592521.1
18014	IUM83_12471	hypothetical protein	KAG6592669.1
18015	IUM83_12472	hypothetical protein	KAG6592505.1
18016	IUM83_12473	Transposase, Tc1-like protein	KAG6592671.1
18017	IUM83_12474	Tubby-related protein 3	KAG6592672.1
18018	IUM83_12475	Sterol 3-beta-glucosyltransferase	KAG6592522.1
18019	IUM83_12476	Dicarboxylate/amino acid:cation (Na or H) symporter (DAACS) family protein	KAG6592523.1
18020	IUM83_12477	Dicarboxylate/amino acid:cation (Na or H) symporter (DAACS) family protein	KAG6592506.1
18021	IUM83_12478	hypothetical protein	KAG6592524.1
18022	IUM83_12479	WD repeat-containing protein 64	KAG6592673.1
18023	IUM83_12480	GAF domain-containing protein	KAG6592618.1
18024	IUM83_12481	E3 UFM1-protein ligase 1	KAG6592588.1
18025	IUM83_12482	cell cycle checkpoint control protein rad9b-like	KAG6592620.1
18026	IUM83_12483	hypothetical protein	KAG6592619.1
18027	IUM83_12484	nephrocystin-4-like protein	KAG6592622.1
18028	IUM83_12485	Eukaryotic translation initiation factor 3 subunit F	KAG6592621.1
18029	IUM83_12486	hypothetical protein	KAG6592624.1
18030	IUM83_12487	hypothetical protein	KAG6592623.1
18031	IUM83_12488	Dicer-like 1 (DCL1)	KAG6592574.1
18032	IUM83_12489	Dicer-like 1 (DCL1)	KAG6592587.1
18033	IUM83_12490	putative transmembrane protein	KAG6592518.1
18034	IUM83_12491	poly-specific ribonuclease parn	KAG6592556.1
18035	IUM83_12492	putative bZIP transcription factor	KAG6592674.1
18036	IUM83_12493	hypothetical protein	KAG6592675.1
18037	IUM83_12494	hypothetical protein	KAG6592516.1
18038	IUM83_12495	hypothetical protein	KAG6592517.1
18039	IUM83_12496	gtpase-activating protein gyp1-like	KAG6592514.1
18040	IUM83_12497	Calcium-transporting ATPase 1, endoplasmic reticulum-type	KAG6592515.1
18041	IUM83_12498	hypothetical protein	KAG6592510.1
18042	IUM83_12499	actin-like protein 2	KAG6592511.1
18043	IUM83_12500	AMP deaminase	KAG6592586.1
18044	IUM83_12501	ornithine aminotransferase, mitochondrial	KAG6592566.1
18045	IUM83_12502	structural maintenance of chromosomes protein	KAG6592569.1
18046	IUM83_12503	ABC transporter SMC family	KAG6592579.1
18047	IUM83_12504	Equilibrative nucleoside transporter 2	KAG6592647.1
18048	IUM83_12505	Equilibrative nucleoside transporter 2	KAG6592571.1
18049	IUM83_12506	Equilibrative Nucleoside Transporter (ENT) Family	KAG6592580.1
18050	IUM83_12507	Equilibrative Nucleoside Transporter (ENT) Family	KAG6592581.1
18051	IUM83_12508	ubiquitin conjugation factor e4	KAG6592577.1
18052	IUM83_12509	pectate lyase	KAG6592578.1
18053	IUM83_12510	putative polysaccharide lyase	KAG6592541.1
18054	IUM83_12511	Pectate lyase	KAG6592546.1
18055	IUM83_12512	COMM domain-containing protein 3	KAG6592470.1
18056	IUM83_12513	Enkurin domain	KAG6592545.1
18057	IUM83_12514	Endoglucanase A	KAG6592549.1
18058	IUM83_12515	Zinc carboxypeptidase	KAG6592548.1
18059	IUM83_12516	hypothetical protein	KAG6592543.1
18060	IUM83_12517	hypothetical protein	KAG6592471.1
18061	IUM83_12518	Transmembrane protein	KAG6592469.1
18062	IUM83_12519	hypothetical protein	KAG6592468.1
18063	IUM83_12520	Proton-dependent Oligopeptide Transporter (POT) Family	KAG6592583.1
18064	IUM83_12521	Kinase A-anchor protein	KAG6592584.1
18065	IUM83_12522	Beta-glucan synthesis-associated protein SKN1	KAG6592582.1
18066	IUM83_12523	Molybdopterin synthase catalytic subunit	KAG6592519.1
18067	IUM83_12524	Ca2+-binding protein/EF-hand superfamily protein	KAG6592585.1
18068	IUM83_12525	Transposase	KAG6592634.1
18069	IUM83_12526	hypothetical protein	KAG6592627.1
18070	IUM83_12527	hypothetical protein	KAG6592612.1
18071	IUM83_12528	reverse transcriptase	KAG6592637.1
18072	IUM83_12529	putative retroelement	KAG6592613.1
18073	IUM83_12530	Copia protein	KAG6592481.1
18074	IUM83_12531	Integrase catalytic core protein	KAG6592480.1
18075	IUM83_12532	Integrase catalytic core protein	KAG6592533.1
18076	IUM83_12533	hypothetical protein	KAG6592482.1
18077	IUM83_12534	hypothetical protein	KAG6592477.1
18078	IUM83_12535	hypothetical protein	KAG6592525.1
18079	IUM83_12536	RNA methyltransferase, TrmH family, group 3	KAG6592479.1
18080	IUM83_12537	hypothetical protein	KAG6592528.1
18081	IUM83_12538	Avr1b-1 avirulence-like protein	KAG6592476.1
18082	IUM83_12539	growth arrest-specific protein 7-like	KAG6592475.1
18083	IUM83_12540	hypothetical protein	KAG6592661.1
18084	IUM83_12541	hypothetical protein	KAG6592662.1
18085	IUM83_12542	hypothetical protein	KAG6592664.1
18086	IUM83_12543	hypothetical protein	KAG6592665.1
18087	IUM83_12544	hypothetical protein	KAG6592660.1
18088	IUM83_12545	Retrotransposon gag domain	KAG6592589.1
18089	IUM83_12546	phosphatase PTC7 family protein	KAG6592617.1
18090	IUM83_12547	putative kinase	KAG6592590.1
18091	IUM83_12548	phosphatase PTC7 family protein	KAG6592591.1
18092	IUM83_12549	hypothetical protein	KAG6592666.1
18093	IUM83_12550	Dual specificity protein kinase shkA	KAG6592487.1
18094	IUM83_12551	hypothetical protein	KAG6592509.1
18095	IUM83_12552	hypothetical protein	KAG6592486.1
18096	IUM83_12553	hypothetical protein	KAG6592485.1
18097	IUM83_12554	phosphatase PTC7 family protein	KAG6592484.1
18098	IUM83_12555	Sulfatase protein	KAG6592625.1
18099	IUM83_12556	cysteine-tRNA ligase	KAG6592508.1
18100	IUM83_12557	putative secreted RxLR effector peptide protein	KAG6592483.1
18101	IUM83_12558	Necrosis inducing protein NPP1 type	KAG6592639.1
18102	IUM83_12559	putative secreted RxLR effector protein	KAG6592488.1
18103	IUM83_12560	putative secreted RxLR effector peptide protein	KAG6592610.1
18104	IUM83_12561	stage v sporulation protein k	KAG6592611.1
18105	IUM83_12562	stage v sporulation protein k	KAG6592608.1
18106	IUM83_12563	Pol Polyprotein	KAG6592609.1
18107	IUM83_12564	Serine/threonine-protein kinase mph1	KAG6592606.1
18108	IUM83_12565	Ankyrin repeat domain-containing protein 50	KAG6592607.1
18109	IUM83_12566	GrxB family glutaredoxin	KAG6592604.1
18110	IUM83_12567	putative secreted RxLR effector peptide protein	KAG6592605.1
18111	IUM83_12568	putative aquaporin	KAG6592602.1
18112	IUM83_12569	TTK protein kinase	KAG6592603.1
18113	IUM83_12570	Microtubule -associated protein EB1	KAG6592490.1
18114	IUM83_12571	hypothetical protein	KAG6592489.1
18115	IUM83_12572	GrxB family glutaredoxin	KAG6592465.1
18116	IUM83_12573	putative aquaporin	KAG6592491.1
18117	IUM83_12574	rRNA processing protein RRP7	KAG6592466.1
18118	IUM83_12575	putative aquaporin	KAG6592492.1
18119	IUM83_12576	putative aquaporin	KAG6592494.1
18120	IUM83_12577	putative aquaporin	KAG6592493.1
18121	IUM83_19232	hypothetical protein	KAG6592410.1
18122	IUM83_19233	CAMK/CAMK1 protein kinase	KAG6592434.1
18123	IUM83_19234	hypothetical protein	KAG6592412.1
18124	IUM83_19235	DNA-directed RNA polymerase I and III subunit RPAC1	KAG6592411.1
18125	IUM83_19236	Cytochrome c1, mitochondrial precursor	KAG6592435.1
18126	IUM83_19237	Protein kish-A	KAG6592407.1
18127	IUM83_19238	Mitochondrial Carrier (MC) Family	KAG6592409.1
18128	IUM83_19239	Mitochondrial Carrier (MC) Family	KAG6592408.1
18129	IUM83_19240	RxLR-like protein	KAG6592452.1
18130	IUM83_19241	isopentenyl-diphosphate delta-isomerase	KAG6592422.1
18131	IUM83_19242	Mitochondrial import inner membrane translocase subunit tim16	KAG6592433.1
18132	IUM83_19243	hypothetical protein	KAG6592464.1
18133	IUM83_19244	Protein phosphatase 1, regulatory subunit	KAG6592432.1
18134	IUM83_19245	Amino Acid-Polyamine-Organocation (APC) Family	KAG6592451.1
18135	IUM83_19246	Amino Acid-Polyamine-Organocation (APC) Family	KAG6592450.1
18136	IUM83_19247	Cyclin-like protein	KAG6592431.1
18137	IUM83_19248	Transmembrane protein	KAG6592449.1
18138	IUM83_19249	Transmembrane protein	KAG6592430.1
18139	IUM83_19250	Transmembrane protein	KAG6592426.1
18140	IUM83_19251	putative transmembrane protein	KAG6592441.1
18141	IUM83_19252	Transmembrane protein	KAG6592427.1
18142	IUM83_19253	Transmembrane protein	KAG6592454.1
18143	IUM83_19254	Transmembrane protein	KAG6592429.1
18144	IUM83_19255	Transmembrane protein	KAG6592428.1
18145	IUM83_19256	Complex 1 LYR protein	KAG6592437.1
18146	IUM83_19257	n-acetyltransferase 5	KAG6592442.1
18147	IUM83_19258	hypothetical protein	KAG6592453.1
18148	IUM83_19259	N-acetyltransferase 5	KAG6592440.1
18149	IUM83_19260	Ribosomal RNA-processing protein 8	KAG6592444.1
18150	IUM83_19261	Lysosomal beta glucosidase	KAG6592445.1
18151	IUM83_19262	Lysosomal beta glucosidase	KAG6592446.1
18152	IUM83_19263	putative DNA polymerase alpha/epsilon subunit B	KAG6592424.1
18153	IUM83_19264	Dual specificity phosphatase Cdc25	KAG6592436.1
18154	IUM83_19265	Acylamino-acid-releasing enzyme	KAG6592438.1
18155	IUM83_19266	Ribosomal RNA-processing protein 8	KAG6592443.1
18156	IUM83_19267	Acyltransferase family	KAG6592423.1
18157	IUM83_19268	Acyltransferase family	KAG6592439.1
18158	IUM83_19269	hypothetical protein	KAG6592447.1
18159	IUM83_19270	hypothetical protein	KAG6592419.1
18160	IUM83_19271	ATP-binding Cassette (ABC) superfamily	KAG6592418.1
18161	IUM83_19272	hypothetical protein	KAG6592417.1
18162	IUM83_19273	hypothetical protein	KAG6592416.1
18163	IUM83_19274	FK506-binding protein 15	KAG6592415.1
18164	IUM83_19275	CAMK/CAMKL/SNRK protein kinase	KAG6592414.1
18165	IUM83_19276	Tubulin-specific chaperone A	KAG6592413.1
18166	IUM83_19277	adenylosuccinate synthetase	KAG6592448.1
18167	IUM83_19278	adenylosuccinate synthetase	KAG6592421.1
18168	IUM83_19279	Isoleucine-tRNA ligase	KAG6592420.1
18169	IUM83_19280	hypothetical protein	KAG6592457.1
18170	IUM83_19281	putative secreted RxLR effector protein	KAG6592458.1
18171	IUM83_19282	Ribosomal RNA-processing protein 8	KAG6592455.1
18172	IUM83_19283	WD repeat-containing protein 1-B	KAG6592456.1
18173	IUM83_19284	hypothetical protein	KAG6592462.1
18174	IUM83_19285	Secretory protein OPEL	KAG6592463.1
18175	IUM83_19286	hypothetical protein	KAG6592459.1
18176	IUM83_19287	hypothetical protein	KAG6592461.1
18177	IUM83_11179	Ankyrin repeat-containing protein	KAG6591158.1
18178	IUM83_11180	hypothetical protein	KAG6591060.1
18179	IUM83_11181	putative secreted RxLR effector protein	KAG6591002.1
18180	IUM83_11182	putative selenoprotein O	KAG6591034.1
18181	IUM83_11183	Selenoprotein O	KAG6591033.1
18182	IUM83_11184	Rhamnolipids biosynthesis 3-oxoacyl- reductase	KAG6591035.1
18183	IUM83_11185	putative secreted RxLR effector protein	KAG6591061.1
18184	IUM83_11186	Glycoside hydrolase	KAG6591005.1
18185	IUM83_11187	Glycoside hydrolase	KAG6591036.1
18186	IUM83_11188	hypothetical protein	KAG6591004.1
18187	IUM83_11189	Kelch domain-containing protein 4	KAG6591032.1
18188	IUM83_11190	gdp-l-galactose phosphorylase 1-like	KAG6591148.1
18189	IUM83_11191	CILIATE-E2/CILIATE-E2-UNCLASSIFIED protein kinase	KAG6591149.1
18190	IUM83_11192	Sirtuin family, catalytic core small domain	KAG6591147.1
18191	IUM83_11193	hypothetical protein	KAG6590961.1
18192	IUM83_11194	hypothetical protein	KAG6591146.1
18193	IUM83_11195	putative secreted RxLR effector protein	KAG6591017.1
18194	IUM83_11196	hypothetical protein	KAG6591144.1
18195	IUM83_11197	Avr1b-1 avirulence-like protein	KAG6591145.1
18196	IUM83_11198	Puromycin-sensitive aminopeptidase	KAG6591143.1
18197	IUM83_11199	Catalase/peroxidase HPI	KAG6591016.1
18198	IUM83_11200	putative secreted RxLR effector protein	KAG6591045.1
18199	IUM83_11201	valine-tRNA ligase	KAG6591015.1
18200	IUM83_11202	hypothetical protein	KAG6591014.1
18201	IUM83_11203	Serine/threonine protein kinase	KAG6591044.1
18202	IUM83_11204	4-coumarate--CoA ligase 3	KAG6591023.1
18203	IUM83_11205	dead deah box rna helicase	KAG6591046.1
18204	IUM83_11206	4-coumarate--CoA ligase 2	KAG6591019.1
18205	IUM83_11207	Transcriptional repressor EZH1	KAG6591022.1
18206	IUM83_11208	voltage-gated potassium channel subunit beta	KAG6591043.1
18207	IUM83_11209	Golgin subfamily A member 7/ERF4	KAG6591097.1
18208	IUM83_11210	sporangia induced Bardet-Biedl syndrome 4 protein	KAG6591118.1
18209	IUM83_11211	Phosphoglycerate kinase	KAG6591160.1
18210	IUM83_11212	chaperone DnaJ	KAG6591162.1
18211	IUM83_11213	Chaperone DnaJ	KAG6591161.1
18212	IUM83_11214	Estradiol 17-beta-dehydrogenase 12-B	KAG6591063.1
18213	IUM83_11215	phosphomutase PMU1	KAG6591062.1
18214	IUM83_11216	phosphoglycerate mutase family	KAG6591159.1
